filingDate,year,form,accessionNumber,DocumentName,is10K
2022-03-04,2022,8-K,0001193125-22-066169,d294699d8k.htm,0
2022-02-09,2022,SD,0001193125-22-032738,d288870dsd.htm,0
2022-02-09,2022,SC 13G/A,0001104659-22-016224,tv0011-appleinc.htm,0
2022-02-09,2022,PX14A6G,0001214659-22-002092,f28220px14a6g.htm,0
2022-02-07,2022,4,0000320193-22-000025,xslF345X03/wf-form4_164427662367600.xml,0
2022-02-03,2022,4,0000320193-22-000023,xslF345X03/wf-form4_164393152667942.xml,0
2022-02-03,2022,4,0000320193-22-000022,xslF345X03/wf-form4_164393146754706.xml,0
2022-02-03,2022,4,0000320193-22-000021,xslF345X03/wf-form4_164393139518938.xml,0
2022-02-03,2022,4,0000320193-22-000020,xslF345X03/wf-form4_164393133439643.xml,0
2022-02-03,2022,4,0000320193-22-000019,xslF345X03/wf-form4_164393124898522.xml,0
2022-02-03,2022,4,0000320193-22-000018,xslF345X03/wf-form4_164393117233036.xml,0
2022-02-03,2022,4,0000320193-22-000017,xslF345X03/wf-form4_164393109986560.xml,0
2022-02-03,2022,4,0000320193-22-000016,xslF345X03/wf-form4_164393104282208.xml,0
2022-02-01,2022,PX14A6G,0001214659-22-001589,g131227px14a6g.htm,0
2022-02-01,2022,PX14A6G,0001214659-22-001473,g131228px14a6g.htm,0
2022-02-01,2022,SC 13G/A,0000834237-22-004076,us0378331005_012822.txt,0
2022-01-28,2022,PX14A6G,0001214659-22-001295,e126223px14a6g.htm,0
2022-01-28,2022,10-Q,0000320193-22-000007,aapl-20211225.htm,0
2022-01-27,2022,8-K,0000320193-22-000006,aapl-20220127.htm,0
2022-01-27,2022,PX14A6N,0001377739-22-000005,aapldearshareholder.htm,0
2022-01-06,2022,DEFA14A,0001193125-22-003593,d399129ddefa14a.htm,0
2022-01-06,2022,DEF 14A,0001193125-22-003583,d222670ddef14a.htm,0
2021-11-16,2021,4,0000320193-21-000114,xslF345X03/wf-form4_163710541081314.xml,0
2021-11-12,2021,4,0000320193-21-000112,xslF345X03/wf-form4_163675992058856.xml,0
2021-11-12,2021,3,0000320193-21-000111,xslF345X02/wf-form3_163675983081322.xml,0
2021-11-12,2021,8-K,0001193125-21-328151,d259993d8k.htm,0
2021-11-03,2021,4,0000320193-21-000108,xslF345X03/wf-form4_163597867263388.xml,0
2021-10-29,2021,S-3ASR,0001193125-21-312274,d192862ds3asr.htm,0
2021-10-29,2021,IRANNOTICE,0001193125-21-311635,d246143dirannotice.htm,0
2021-10-29,2021,10-K,0000320193-21-000105,aapl-20210925.htm,1
2021-10-28,2021,8-K,0000320193-21-000104,aapl-20211028.htm,0
2021-10-21,2021,4,0000320193-21-000099,xslF345X03/wf-form4_163485542776887.xml,0
2021-10-19,2021,4,0000320193-21-000097,xslF345X03/wf-form4_163468269006289.xml,0
2021-10-19,2021,4,0000320193-21-000096,xslF345X03/wf-form4_163468261390808.xml,0
2021-10-05,2021,4,0000320193-21-000093,xslF345X03/wf-form4_163347386959085.xml,0
2021-10-05,2021,4,0000320193-21-000092,xslF345X03/wf-form4_163347379860494.xml,0
2021-10-05,2021,4,0000320193-21-000091,xslF345X03/wf-form4_163347373433784.xml,0
2021-10-05,2021,4,0000320193-21-000090,xslF345X03/wf-form4_163347311336788.xml,0
2021-09-28,2021,4,0000320193-21-000085,xslF345X03/wf-form4_163286851816033.xml,0
2021-09-28,2021,4,0000320193-21-000084,xslF345X03/wf-form4_163286847648313.xml,0
2021-09-28,2021,4,0000320193-21-000083,xslF345X03/wf-form4_163286842980488.xml,0
2021-09-28,2021,4,0000320193-21-000082,xslF345X03/wf-form4_163286838690995.xml,0
2021-09-28,2021,4,0000320193-21-000081,xslF345X03/wf-form4_163286834378268.xml,0
2021-09-28,2021,4,0000320193-21-000080,xslF345X03/wf-form4_163286823606839.xml,0
2021-08-26,2021,4,0000320193-21-000073,xslF345X03/wf-form4_163001701613155.xml,0
2021-08-24,2021,4,0000320193-21-000071,xslF345X03/wf-form4_162984422696515.xml,0
2021-08-09,2021,4,0000320193-21-000069,xslF345X03/wf-form4_162854822510730.xml,0
2021-08-05,2021,8-K,0001193125-21-237787,d199884d8k.htm,0
2021-08-04,2021,4,0000320193-21-000067,xslF345X03/wf-form4_162811622543495.xml,0
2021-07-30,2021,424B2,0001193125-21-231584,d175814d424b2.htm,0
2021-07-30,2021,FWP,0001193125-21-229470,d202672dfwp.htm,0
2021-07-29,2021,424B2,0001193125-21-228285,d175814d424b2.htm,0
2021-07-28,2021,IRANNOTICE,0001193125-21-225983,d198818dirannotice.htm,0
2021-07-28,2021,10-Q,0000320193-21-000065,aapl-20210626.htm,0
2021-07-27,2021,8-K,0000320193-21-000063,aapl-20210727.htm,0
2021-05-05,2021,4,0000320193-21-000060,xslF345X03/wf-form4_162025388592461.xml,0
2021-05-05,2021,4,0000320193-21-000059,xslF345X03/wf-form4_162025381465785.xml,0
2021-04-29,2021,10-Q,0000320193-21-000056,aapl-20210327.htm,0
2021-04-28,2021,8-K,0000320193-21-000055,aapl-20210428.htm,0
2021-04-19,2021,4,0000320193-21-000050,xslF345X03/wf-form4_161887148361718.xml,0
2021-04-19,2021,4,0000320193-21-000049,xslF345X03/wf-form4_161887141797206.xml,0
2021-04-05,2021,4,0000320193-21-000046,xslF345X03/wf-form4_161766207883637.xml,0
2021-04-05,2021,4,0000320193-21-000045,xslF345X03/wf-form4_161766194119040.xml,0
2021-04-05,2021,4,0000320193-21-000044,xslF345X03/wf-form4_161766181877540.xml,0
2021-02-25,2021,4,0000320193-21-000040,xslF345X03/wf-form4_161429622893015.xml,0
2021-02-25,2021,4,0000320193-21-000039,xslF345X03/wf-form4_161429614827041.xml,0
2021-02-25,2021,4,0000320193-21-000038,xslF345X03/wf-form4_161429609463628.xml,0
2021-02-25,2021,4,0000320193-21-000037,xslF345X03/wf-form4_161429604194177.xml,0
2021-02-25,2021,4,0000320193-21-000036,xslF345X03/wf-form4_161429598243346.xml,0
2021-02-25,2021,4,0000320193-21-000035,xslF345X03/wf-form4_161429591861303.xml,0
2021-02-25,2021,4,0000320193-21-000034,xslF345X03/wf-form4_161429585074371.xml,0
2021-02-24,2021,8-K,0001193125-21-054710,d101693d8k.htm,0
2021-02-18,2021,PX14A6G,0001214659-21-002046,r217211px14a6g.htm,0
2021-02-16,2021,SC 13G/A,0001193125-21-044816,d107461dsc13ga.htm,0
2021-02-10,2021,SD,0001193125-21-036337,d119389dsd.htm,0
2021-02-10,2021,SC 13G/A,0001104659-21-017199,tv0010-appleinc.htm,0
2021-02-08,2021,8-K,0001193125-21-032394,d70217d8k.htm,0
2021-02-05,2021,SC 13G/A,0000834237-21-007542,us0378331005_020421.txt,0
2021-02-03,2021,4,0000320193-21-000026,xslF345X03/wf-form4_161239555356050.xml,0
2021-02-03,2021,4,0000320193-21-000025,xslF345X03/wf-form4_161239548384646.xml,0
2021-02-03,2021,4,0000320193-21-000024,xslF345X03/wf-form4_161239542324805.xml,0
2021-02-03,2021,4,0000320193-21-000023,xslF345X03/wf-form4_161239535474705.xml,0
2021-02-03,2021,4,0000320193-21-000022,xslF345X03/wf-form4_161239528138893.xml,0
2021-02-03,2021,4,0000320193-21-000021,xslF345X03/wf-form4_161239515778792.xml,0
2021-02-03,2021,4,0000320193-21-000020,xslF345X03/wf-form4_161239509434831.xml,0
2021-02-03,2021,4,0000320193-21-000019,xslF345X03/wf-form4_161239502964926.xml,0
2021-02-02,2021,424B2,0001193125-21-025910,d66851d424b2.htm,0
2021-02-02,2021,FWP,0001193125-21-024892,d70069dfwp.htm,0
2021-02-01,2021,424B2,0001193125-21-023836,d66851d424b2.htm,0
2021-01-28,2021,10-Q,0000320193-21-000010,aapl-20201226.htm,0
2021-01-27,2021,8-K,0000320193-21-000009,aapl-20210127.htm,0
2021-01-05,2021,4,0000320193-21-000004,xslF345X03/wf-form4_160988957683472.xml,0
2021-01-05,2021,3,0000320193-21-000003,xslF345X02/wf-form3_160988944878908.xml,0
2021-01-05,2021,DEFA14A,0001193125-21-001989,d767776ddefa14a.htm,0
2021-01-05,2021,DEF 14A,0001193125-21-001987,d767770ddef14a.htm,0
2021-01-05,2021,8-K,0001193125-21-001982,d29637d8k.htm,0
2020-11-17,2020,4,0000320193-20-000101,xslF345X03/wf-form4_160565582610158.xml,0
2020-11-05,2020,4,0000320193-20-000099,xslF345X03/wf-form4_160461904119340.xml,0
2020-10-30,2020,10-K,0000320193-20-000096,aapl-20200926.htm,1
2020-10-29,2020,8-K,0000320193-20-000094,aapl-20201029.htm,0
2020-10-19,2020,4,0000320193-20-000090,xslF345X03/wf-form4_160314673986899.xml,0
2020-10-19,2020,4,0000320193-20-000089,xslF345X03/wf-form4_160314661733333.xml,0
2020-10-13,2020,4,0000320193-20-000086,xslF345X03/wf-form4_160262821333467.xml,0
2020-10-05,2020,4,0000320193-20-000084,xslF345X03/wf-form4_160193720275669.xml,0
2020-10-05,2020,4,0000320193-20-000083,xslF345X03/wf-form4_160193715587800.xml,0
2020-10-05,2020,4,0000320193-20-000082,xslF345X03/wf-form4_160193701297920.xml,0
2020-09-29,2020,4,0000320193-20-000078,xslF345X03/wf-form4_160141899239637.xml,0
2020-09-29,2020,4,0000320193-20-000077,xslF345X03/wf-form4_160141893471775.xml,0
2020-09-29,2020,4,0000320193-20-000076,xslF345X03/wf-form4_160141889148665.xml,0
2020-09-29,2020,4,0000320193-20-000075,xslF345X03/wf-form4_160141884313005.xml,0
2020-09-29,2020,4,0000320193-20-000074,xslF345X03/wf-form4_160141879027128.xml,0
2020-09-29,2020,4,0000320193-20-000073,xslF345X03/wf-form4_160141863355452.xml,0
2020-08-25,2020,4,0000320193-20-000066,xslF345X03/wf-form4_159839550969947.xml,0
2020-08-24,2020,4,0000320193-20-000064,xslF345X03/wf-form4_159830825188983.xml,0
2020-08-20,2020,8-K,0001193125-20-225672,d937363d8k.htm,0
2020-08-14,2020,424B2,0001193125-20-220410,d23503d424b2.htm,0
2020-08-13,2020,FWP,0001193125-20-219289,d82525dfwp.htm,0
2020-08-13,2020,424B2,0001193125-20-218350,d23503d424b2.htm,0
2020-08-07,2020,8-K,0001193125-20-213158,d49399d8k.htm,0
2020-07-31,2020,10-Q,0000320193-20-000062,aapl-20200627.htm,0
2020-07-30,2020,8-K,0000320193-20-000060,aapl-20200730.htm,0
2020-05-12,2020,4,0000320193-20-000056,xslF345X03/wf-form4_158932261319105.xml,0
2020-05-11,2020,8-K,0001193125-20-139112,d926511d8k.htm,0
2020-05-05,2020,424B2,0001193125-20-133777,d926392d424b2.htm,0
2020-05-05,2020,FWP,0001193125-20-132661,d926508dfwp.htm,0
2020-05-04,2020,424B2,0001193125-20-131780,d926392d424b2.htm,0
2020-05-01,2020,10-Q,0000320193-20-000052,a10-qq220203282020.htm,0
2020-04-30,2020,4,0000320193-20-000054,xslF345X03/wf-form4_158829658358801.xml,0
2020-04-30,2020,8-K,0000320193-20-000050,a8-kq220203282020.htm,0
2020-04-17,2020,4,0000320193-20-000045,xslF345X03/wf-form4_158716268511263.xml,0
